topic_EN,topic_DE,sentence_EN,evidence_label_EN,evidence_score_EN,stance_label_EN,sentence_DE_ht,evidence_label_ht,evidence_conf_ht,evidence_num_labelers_ht,evidence_accept_ht,evidence_reject_ht,stance_label_ht,stance_conf_ht,stance_num_labelers_ht,stance_pro_ht,stance_con_ht,sentence_DE_mt,evidence_label_mt,evidence_conf_mt,evidence_num_labelers_mt,evidence_accept_mt,evidence_reject_mt,stance_label_mt,stance_conf_mt,stance_num_labelers_mt,stance_pro_mt,stance_con_mt
We should abandon the presidential system,Wir sollten das Präsidialsystem aufgeben,"The Junta had already held a staged referendum to abolish the monarchy on 29 July 1973, and passed a new Constitution which established a presidential republic (with junta leader Georgios Papadopoulos as President).",1,0.8,-1,"Die Junta hielt bereits am 29 July 1973, eine fruehzeitige Volksabstimmung um die Monarchie abzuschaffen und verabschiedete eine neue Verfassung, die eine praesidentschaftliche Republik (mit Junta Fuehrer Georgios Papadopoulos als Praesidenten) etablierte.",1,0.709680905,10,5,5,-1,1,5,1,4,"Die Junta hatte bereits ein inszeniertes Referendum abgehalten, um die Monarchie am 29. Juli 1973 abzuschaffen, und verabschiedete eine neue Verfassung, die eine Präsidentenrepublik einrichtete (mit Junta-Chef Georgios Papadopoulos als Präsident).",1,0.645785094,10,5,5,-1,1,5,0,5
We should abandon the sexual revolution,Wir sollten die sexuelle Revolution aufgeben.,Any form of sexual revolution was derided as promiscuity and leading to a rise in sexually transmitted infections.,1,0.8,1,Jede Art von sexueller Revolution war als Promiskuitaet verhoehnt und fuehrte zu einer Zunahme von sexuell uebertragenen Infektionen.,1,0.960776278,10,9,1,1,1,9,9,0,Jede Form der sexuellen Revolution wurde als Promiskuität verspottet und führte zu einem Anstieg der sexuell übertragbaren Infektionen.,1,1,7,7,0,1,1,7,7,0
We should abandon the sexual revolution,Wir sollten die sexuelle Revolution aufgeben.,"Naomi Wolf considered that the sexual revolution had paradoxically intensified the importance of the virgin-whore split, leaving women to contend with the worst aspects of both images .",1,0.9,1,"Naomi Wolf vertrat die Ansicht, dass die sexuelle Revolution paradoxerweise die Bedeutung der Jungfrau-Nutte-Spaltung verstärkt habe und die Frauen mit den schlimmsten Aspekten beider Bilder konfrontiert seien.",0,0.660755094,10,3,7,1,1,3,3,0,"Naomi Wolf vertrat die Auffassung, dass die sexuelle Revolution die Bedeutung der unberührten Hure paradoxerweise intensiviert hatte, sodass Frauen sich mit den schlechtesten Aspekten beider Bilder zu tun hätten.",0,1,7,0,7,,,0,0,0
We should abandon voter registration,Wir sollten die Wählerregistrierung aufgeben.,"In 1998, the state Supreme Court ruled that signatures from half the registered voters of the affected area are required to propose a new county, shelving many county secession movements in the state.",0,0,0,"1998 entschied der Oberste Gerichtshof des Bundesstaates, dass die Unterschriften der Hälfte der registrierten Wähler des betroffenen Gebiets erforderlich sind, um einen neuen Bezirk vorzuschlagen, wodurch viele Sezessionsbewegungen in den Bezirken des Bundesstaates auf Eis gelegt wurden.",0,1,7,0,7,,,0,0,0,"Im Jahr 1998 entschied der Oberste Gerichtshof, dass Unterschriften von der Hälfte der registrierten Wähler des betroffenen Gebiets erforderlich sind, um eine neue Grafschaft vorzuschlagen, die viele Kreissezessionsbewegungen in dem Staat regiert.",0,1,10,1,9,,,1,1,0
We should abandon voter registration,Wir sollten die Wählerregistrierung aufgeben.,"In the late 19th century, the white-dominated state legislature passed several laws that made voter registration and voting more difficult, including payment of a poll tax, and resulted in reducing voting by many blacks and poor whites.",0,0.3,0,"Im spaeten 19. Jahrhundert verabschiedete die von Weissen dominierte Staatslegislative mehrere Gesetze, die Waehlerregistrierung und waehlen schwieriger machte, einschliesslich Zahlung einer Kopfsteuer, was in reduziertem waehlen von vielen Schwarzen und armen Weissen resultierte .",0,0.659136968,10,5,5,,,5,4,1,"Im späten 19. Jahrhundert verabschiedete der weißdominierte Staatsgesetzgeber mehrere Gesetze, die die Wählerregistrierung und die Stimmabgabe erschweren, einschließlich der Zahlung einer Wahlsteuer, und führte zu einer Verringerung der Stimmabgabe durch viele Schwarze und arme Weiße.",0,0.945667016,10,1,9,,,1,1,0
We should abandon weddings,Wir sollten Hochzeiten aufgeben,"The show's executive producer, Diederick Santer, described the wedding as ""the perfect opportunity"" to bring the characters back to the show.",0,0.3,-1,"Der Produktionsleiter der Show, Diederick Santer, beschrieb die Hochzeit als die ""perfekte Gelegenheit"", die  Darsteller wieder zur Show zurueckzubringen.",0,0.829402667,10,2,8,-1,1,2,0,2,"Der ausführende Produzent der Show, Diederick Santer, bezeichnete die Hochzeit als ""die perfekte Gelegenheit"", um die Figuren wieder in die Show zu bringen.",0,0.810714733,10,2,8,-1,1,2,0,2
We should abandon weddings,Wir sollten Hochzeiten aufgeben,"It dominates the western skyline of the city of Turku was designed by Professor Lars Sonck and is one of the most popular wedding churches in Turku being able to seat 1,800 people.",0,0,0,"Sie dominiert die westliche Skyline der Stadt Turku, wurde von Professor Lars Sonck entworfen und ist mit 1.800 Sitzplätzen eine der beliebtesten Hochzeitskirchen in Turku.",0,1,7,0,7,,,0,0,0,"Es dominiert die westliche Skyline der Stadt Turku wurde von Professor Lars Sonck entworfen und ist eine der beliebtesten Hochzeitskirchen in Turku, die in der Lage, 1.800 Menschen Platz.",0,1,9,0,9,,,0,0,0
We should abolish competition laws,Wir sollten die Wettbewerbsgesetze abschaffen.,"One view, mostly closely associated with the ""Chicago School of economics"" suggests that antitrust laws should focus solely on the benefits to consumers and overall efficiency, while a broad range of legal and economic theory sees the role of antitrust laws as also controlling economic power in the public interest .",1,0.6,-1,"Eine Ansicht, die zumeist eng mit der ""Chicago School of Economics"" verbunden ist, schlägt vor, dass sich Kartellgesetze ausschließlich auf den Nutzen für die Verbraucher und die Gesamteffizienz konzentrieren sollten, während ein breites Spektrum der Rechts- und Wirtschaftstheorie die Rolle der Kartellgesetze auch darin sieht, die wirtschaftliche Macht im öffentlichen Interesse zu kontrollieren.",0,0.699162889,10,3,7,,,3,1,2,"Eine Ansicht, die meist eng mit der ""Chicago School of Economics"" verbunden ist, deutet darauf hin, dass sich das Kartellrecht einzig und allein auf die Vorteile für die Verbraucher und die Gesamteffizienz konzentrieren sollte, während eine breite Palette von Rechts-und Wirtschaftstheorie die Rolle von Kartellgesetzen als auch die Kontrolle der Wirtschaftskraft im öffentlichen Interesse sieht.",0,1,7,0,7,,,0,0,0
We should abolish competition laws,Wir sollten die Wettbewerbsgesetze abschaffen.,Telecommunications policy outlines antitrust laws as is common for industries with large barriers to entry.,0,0.4,-1,Telecommunikationsbestimmungen umreissen das Kartellrecht wie es bei Industrien mit grossen Martkeintrittsbarrieren ueblich ist.,0,1,7,0,7,,,0,0,0,"Die Telekommunikationspolitik skizziert das Kartellrecht, wie es für Industrien mit großen Marktzutrittsschranken üblich ist.",0,0.914863831,10,3,7,,,3,2,1
We should abolish credit scores,Wir sollten die Bonität abschaffen.,"Liz Weston writes that some consumer advocates refer to these other [educational] credit scores as ""FAKO scores"" (a play on acronym of FICO) .",0,0.2,0,"Liz Weston schreibt, dass einige Verbraucherschützer diese anderen [Bildungs-] Kredit-Scores als ""FAKO-Scores"" (ein Akronym für FICO) bezeichnen.",1,0.520720163,11,3,8,1,1,3,3,0,"Liz Weston schreibt, dass einige Befürworter der Verbraucher auf diese anderen [erzieherischen] Guthaben als ""FAKO Scores"" verweisen (ein Spiel auf dem Akronym von FICO).",0,0.511336219,10,3,7,1,1,3,2,1
We should abolish credit scores,Wir sollten die Bonität abschaffen.,"Government bonds and T-bills are considered as good quality loans whereas junk bonds, corporate credits to low credit score firms etc. are bad quality loans.",0,0.142857143,0,"Regierungsanleihen und Treasury-Bills sind qualitativ gute Kredite , waehrend Junk-Bonds, corporate Kredite von Firmen mit niedrigem Kreditpunktestand, usw. sind Kredite schlechter Qualitaet.",0,0.609490866,9,4,5,1,1,4,2,2,"Staatsanleihen und T-Rechnungen werden als gute Qualitätsdarlehen angesehen, während Junk-Anleihen, Corporate Credits für Low-Credit-Score-Firmen etc. schlechte Qualitätsdarlehen sind.",0,0.570174157,10,5,5,1,1,5,4,1
We should abolish dual citizenship,Wir sollten die doppelte Staatsbürgerschaft abschaffen.,"The Lithuanian Seimas (parliament) passed a temporary law, expiring in 2010, that granted dual citizenship in exceptional cases, most notably to those who were Lithuanian citizens prior to 1940 and who fled during the Soviet occupations, as well as to their children and grandchildren.",0,0.416666667,-1,"Das litauische Seimas (Parlament) verabschiedete ein befristetes Gesetz, das 2010 ausläuft und in Ausnahmefällen die doppelte Staatsbürgerschaft gewährt, vor allem denjenigen, die vor 1940 litauische Staatsbürger waren und während der sowjetischen Besatzungen geflohen sind, sowie deren Kindern und Enkeln.",0,0.8911352,10,2,8,,,2,1,1,"Der litauische Seimas (Parlament) hat ein befristetes Gesetz verabschiedet, das 2010 ausläuft, das in Ausnahmefällen eine doppelte Staatsbürgerschaft gewährt, insbesondere denjenigen, die vor 1940 litauische Staatsbürger waren und während der sowjetischen Berufe flohen, sowie ihren Kindern und Enkelkindern.",0,0.948420839,11,1,10,,,1,0,1
We should abolish dual citizenship,Wir sollten die doppelte Staatsbürgerschaft abschaffen.,Former President Sadat added that any Egyptian who has dual nationality is exempted from military service and this is still in effect.,0,0.1,0,"Der ehemalige Praesident Sadat fuegte hinzu, dass jeder Aegypter, der doppelte Staatsangehoerigkeit hat  vom Militaerdienst befreit ist, und das ist immer noch gueltig.",0,0.710924198,10,4,6,1,1,4,3,1,"Der ehemalige Präsident Sadat fügte hinzu, dass jeder Ägypter, der die doppelte Staatsangehörigkeit besitzt, vom Militärdienst befreit sei und dies noch immer in Kraft sei.",0,1,10,2,8,,,2,2,0
We should abolish emissions trading,Wir sollten den Emissionshandel abschaffen,"On June 29, 2009, in Nashville, Tennessee, four thousand people rallied against proposed emissions trading (cap and trade) energy in Congress and universal health care .",1,0.888888889,0,"Am 29. Juni 2009 versammelten sich in Nashville, Tennessee, viertausend Menschen gegen den vorgeschlagenen Emissionshandel (Cap and Trade) im Kongress und die allgemeine Gesundheitsversorgung .",0,0.686417964,12,4,8,,,4,4,0,"Am 29. Juni 2009 versammen sich in Nashville, Tennessee, viertausend Menschen gegen den vorgeschlagenen Emissionshandel (Cap und Trade) Energie im Kongress und die allgemeine Gesundheitsfürsorge.",1,0.511336219,10,6,4,,,6,6,0
We should abolish emissions trading,Wir sollten den Emissionshandel abschaffen,"The American Enterprise Institute, Environmental economist Jack Pezzey, economist Jeffrey Sachs (director of the Earth Institute of Columbia University), Yale economist William Nordhaus, The Earth Policy Institute, The Australia Institute, the Centre for Independent Studies, and Harvard professor, Gregory Mankiw also prefer carbon taxes to cap-and-trade.",1,0.8,1,"American Enterprise Institute, Umweltoekonom Jack Pezzey, , Oekonom Jeffrey Sachs (Direktor des Earth Institue der Columbia Universitaet, , Yale Oekonom William Nordhaus, , Earth Policy Institute, Australia Institute, Centre for Independent Studies, und Harvardprofessor Gregory Mankiw  bevorzugen auch Kohlenstoffsteuern zu Emissionshandel mit festen Obergrenzen.",0,0.896744963,10,2,8,,,2,1,1,"Das American Enterprise Institute, der Umweltökonom Jack Pezzey, der Ökonom Jeffrey Sachs (Direktor des Earth Institute of Columbia University), Yale-Ökonom William Nordhaus, The Earth Policy Institute, The Australia Institute, das Centre for Independent Studies und der Harvard-Professor Gregory Mankiw ziehen auch CO2-Steuern für den Gefangenenhandel vor.",0,0.704445246,10,3,7,1,1,3,3,0
We should abolish the presidential pardon,Wir sollten die Präsidentenpardon abschaffen.,"In March 1991, parliament passed an amnesty law that pardoned most political crimes prior to its enactment, excepting crimes perpetrated against foreign diplomats or certain crimes referred by the cabinet to the Higher Judicial Council.  ",0,0.5,-1,"Im Maerz 1991 verabschiedete das Parlament ein Amnestiegesetz, dass die meisten politischen Straftaten vor seiner Inkraftsetzungder vergab, mit Ausnahme bestimmter Straftaten geben auslaendische Diplomaten oder bestimmte Straftaten,  die vom Kabinet an die hoehere Justizstelle weitergeleitet wurden.",0,0.865995924,10,2,8,,,2,0,2,"Im März 1991 verabschiedete das Parlament ein Amnestiegesetz, das vor seinem Erlass die meisten politischen Verbrechen beging, mit Ausnahme von Verbrechen, die gegen ausländische Diplomaten oder bestimmte Verbrechen begangen wurden, die vom Kabinett an den Obersten Justizrat verwiesen wurden.  ",0,1,7,0,7,,,0,0,0
We should abolish the presidential pardon,Wir sollten die Präsidentenpardon abschaffen.,"According to Bob Woodward, Nixon Chief of Staff Alexander Haig proposed a pardon deal to Ford.",0,0,0,Laut Bob Woodward schlug Nixon-Stabschef Alexander Haig Ford ein Begnadigungsabkommen vor.,0,0.957803642,12,3,9,,,3,1,2,Laut Bob Woodward schlug Nixon-Generalstabschef Alexander Haig ein Pardon-Deal an Ford vor.,0,1,10,1,9,,,1,0,1
We should adopt catholicism,"Wir sollten den Katholizismus annehmen,","In his report to the Congregation, he stated that the crossover of Montenegro to Catholicism is especially important in the spread of Catholicism in Serbia and the Balkans in general.  ",0,0.2,0,"In seinem Bericht an die Gemeinde erklaerte er, dass der Uebergang Montenegro's zum Katholizismus besonders wichtig in der Verbreitung des Katholizismus in Serbien und dem Balkan allgemein ist.",1,0.685437744,10,6,4,1,1,6,6,0,"In seinem Bericht an die Kongregation erklärte er, der Crossover Montenegros zum Katholizismus sei besonders wichtig bei der Ausbreitung des Katholizismus in Serbien und dem Balkan im Allgemeinen.  ",0,0.692863163,10,3,7,1,1,3,3,0
We should adopt catholicism,"Wir sollten den Katholizismus annehmen,","While studying in a Roman Catholic seminary, he allegedly molested four boys, who have since filed suit against him, the Archdiocese of Galveston-Houston, Archbishop Joseph Fiorenza and Pope Benedict XVI, charging that the church conspired to cover up the crime.",0,0.090909091,0,"Während seines Studiums in einem römisch-katholischen Priesterseminar soll er vier Jungen belästigt haben, die inzwischen Klage gegen ihn, die Erzdiözese Galveston-Houston, Erzbischof Joseph Fiorenza und Papst Benedikt XVI. eingereicht haben, mit der Begründung, die Kirche habe sich zur Vertuschung des Verbrechens verschworen.",0,1,12,3,9,,,3,0,3,"Während seines Studiums in einem römisch-katholischen Priesterseminar, hat er angeblich vier Jungen belästigt, die seither Anzug gegen ihn erhoben haben, der Erzdiözese Galveston-Houston, Erzbischof Joseph Fiorenza und Papst Benedikt XVI., die die Kirche aufladen, um das Verbrechen zu vertuschen.",0,1,10,1,9,,,1,0,1
We should adopt environmental justice,Wir sollten Umweltgerechtigkeit annehmen,"Most of Shrader-Frechette's research work analyzes the ethical problems in risk assessment, public health, or environmental justice - especially those related to radiological, ecological, and energy-related risks.",0,0.2,0,"Die meiste Forschungsarbeit von Shrader-Frechette analysiert die ethischen Probleme in Risikobewertung, dem Gesundheitswesen, oder Umweltjustiz - besonders solche bezueglich radiologischer,  oekologischer, und energiebezogener Risiken . ",0,0.615487023,10,5,5,1,1,5,5,0,"Die meisten Forschungsarbeit von Shrader-Frechette analysiert die ethischen Probleme in der Risikobewertung, der öffentlichen Gesundheit oder der Umweltgerechtigkeit-insbesondere in Bezug auf radiologische, ökologische und energiebezogene Risiken.",0,0.700118078,10,4,6,1,1,4,4,0
We should adopt environmental justice,Wir sollten Umweltgerechtigkeit annehmen,"Mossville Environmental Action Now has worked since the 1980s as environmental justice advocates to address the industrial toxins that pollute their community, Mossville, Louisiana .",1,0.733333333,1,"Mossville Environmental Action Now arbeitet seit den 1980er Jahren als Anwalt der Umweltgerechtigkeit, um gegen die Industriegifte vorzugehen, die ihre Gemeinde Mossville, Louisiana, verschmutzen.",1,1,7,7,0,1,1,7,7,0,"Mossville Environmental Action Now arbeitet seit den 1980er Jahren als Umweltjustizbefürworter, um die Industrietoxine zu adressieren, die ihre Gemeinde, Mossville, Louisiana, verschmutzen.",1,1,7,7,0,1,1,7,7,0
We should adopt polyamory,"Wir sollten Polyamorie annehmen,","One prominent rabbi who does accept polyamory is Sharon Kleinbaum who was ordained in Reconstructionist Judaism which considers biblical Jewish law as not considered binding, but is treated as a valuable cultural remnant that should be upheld unless there is reason for the contrary.",1,0.7,1,"Eine prominente Rabbinerin, die die Polyamorie akzeptiert, ist Sharon Kleinbaum, die im rekonstruktivistischen Judentum ordiniert wurde, das das biblisch-jüdische Gesetz nicht als bindend betrachtet, sondern als ein wertvolles kulturelles Überbleibsel behandelt wird, das aufrecht erhalten werden sollte, sofern es keinen Grund für das Gegenteil gibt.",0,0.648436171,10,3,7,1,1,3,2,1,"Ein prominenter Rabbiner, der Polyamorie akzeptiert, ist Sharon Kleinbaum, der im rekonstruktionistischen Judentum ordiniert wurde, der das biblische jüdische Gesetz als nicht als verbindlich betrachtet, sondern als wertvoller kultureller Überrest behandelt wird, der aufrechterhalten werden sollte, es sei denn, es gibt Grund für das Gegenteil.",1,0.736025581,10,8,2,1,1,8,8,0
We should adopt polyamory,"Wir sollten Polyamorie annehmen,","Emile Armand was an influential French individualist anarchist, free love/polyamory and pacifist/antimilitarist propagandist and activist.",0,0.076923077,0,"Emille Armand war ein einflussreicher franzoesischer individualistischer Anarchist, freie Liebe/Polyamory und Pazifist/Antimilitarist Propoagandist und Aktivist.",0,0.848398345,10,2,8,,,2,2,0,"Emile Armand war ein einflussreicher französischer, individualistischer Anarchist, freier Liebe/Polyamory und pazifistischer/antimilitaristischer Propagandist und Aktivist.",0,1,7,0,7,,,0,0,0
We should ban Gerrymandering,Wir sollten Gerrymandering verbieten,"A quantitative measure of the effect of gerrymandering is the efficiency gap, computed from the difference in the wasted votes for two different political parties summed over all the districts.",0,0.3,0,"Ein quantitatives Maß für die Wirkung von Gerrymandering ist die Effizienzlücke, berechnet aus der Differenz der über alle Bezirke summierten verlorenen Stimmen für zwei verschiedene politische Parteien.",0,0.727557253,10,4,6,-1,1,4,0,4,"Ein quantitatives Maß für die Wirkung von gerrymandering ist die Effizienzlücke, die aus dem Unterschied in den verschwendeten Stimmen für zwei verschiedene politische Parteien berechnet wird, die über alle Bezirke summiert werden.",0,0.869327869,10,1,9,,,1,0,1
We should ban Gerrymandering,Wir sollten Gerrymandering verbieten,There were also talks of reforming electoral law to reduce gerrymandering in constituency boundaries and guarantee greater proportionality.,1,0.9,1,"Es wurden auch Gespraeche gefuhrt das Wahlgestz zu verbessern, um das Manipulieren an Wahlbezirksgrenzen zu reduzieren und groessere Proportionalitaet zu garantieren . ",0,0.812183666,10,3,7,,,3,3,0,"Es gab auch Gespräche über die Reform des Wahlrechts, um die Gerrymandering in den Wahlkreisgrenzen zu reduzieren und eine größere Verhältnismäßigkeit zu gewährleisten.",1,0.938980805,10,9,1,1,0.517497605,9,4,5
We should ban alcohol advertising,Wir sollten Alkoholwerbung verbieten,"Anheuser-Busch, being a conglomerate with non-alcoholic properties, complies with the French alcohol advertising ban in Formula One by placing their Busch Entertainment theme park logos (mostly SeaWorld) where their Budweiser logo would appear on the Williams F1 car at races where alcohol advertising is banned and in Middle Eastern countries, where alcohol advertising is discouraged.",1,0.6,1,"Anheuser-Busch, ein Mischkonzern mit nichtalkoholischen Eigenschaften, hält sich an das französische Alkoholwerbeverbot in der Formel 1, indem sie ihre Busch Entertainment-Vergnügungsparklogos (meist SeaWorld) dort platzieren, wo ihr Budweiser-Logo auf dem Williams-F1-Auto bei Rennen, bei denen Alkoholwerbung verboten ist, und in Ländern des Nahen Ostens, wo Alkoholwerbung untersagt ist, erscheinen würde.",1,0.81742122,11,7,4,1,1,7,7,0,"Anheuser-Busch, ein Konglomerat mit nicht-alkoholischen Eigenschaften, hält das französische Alkoholwerbeverbot in der Formel 1 ein, indem es ihren Busch Entertainment-Themenpark-Logos (meist SeaWorld) anlegt, in denen ihr Budweiser-Logo auf dem Williams F1-Auto bei Rennen erscheinen würde, in denen Alkoholwerbung verboten ist und in Ländern des Nahen Ostens, wo Alkoholwerbung entmutigt wird.",1,0.848486381,10,6,4,1,1,6,6,0
We should ban alcohol advertising,Wir sollten Alkoholwerbung verbieten,"Preventing or reducing the harm has been called for via increased taxation of alcohol, stricter regulation of alcohol advertising and the provision of brief Interventions.",1,0.7,1,"Es wurde gefordert, den Schaden durch erhoehte Versteuerung von Alkohol, strengere Regelung von Alkoholwerbung, und die Massnahme von kurzen Intervention zu verhindern oder zu reduzieren.",1,0.847425015,10,9,1,1,1,9,7,2,"Die Verhinderung oder Verringerung des Schadens wurde durch eine verstärkte Besteuerung von Alkohol, eine strengere Regulierung der Alkoholwerbung und die Bereitstellung von kurzen Interventionen gefordert.",1,1,10,10,0,1,1,10,6,4
We should ban attack ads,Wir sollten Angriffsanzeigen verbieten,"An organization called Save My Care spent $500,000 to release a series of attack ads against 24 House members who voted for the AHCA, including one about Young that decries his vote claiming it will raise healthcare costs for Alaskans.",0,0.090909091,0,"Eine Organization mit dem Namen Save my Care gab $500,000 aus um eine Reihe von Werbeplakaten mit Angriffen auf 24 Parlamentsmitglieder, die fuer die AHCA gewaehlt haben, einschliesslich einer gegen Young die seine Wahl verschreit,  die fordert, dass die  Kosten fuer Gesundheitsfuersorge fuer Alaskans erhoeht werden .  ",0,0.954057627,10,2,8,,,2,2,0,"Eine Organisation namens ""Save My Care"" hat $500.000 ausgegeben, um eine Reihe von Angriffsanzeigen gegen 24 House-Mitglieder freizugeben, die für die AHCA gestimmt haben, einschließlich eines über Young, das seine Stimme entwirft, und behauptet, es werde die Gesundheitskosten für Alaskans erhöhen.",0,0.945667016,10,1,9,,,1,1,0
We should ban attack ads,Wir sollten Angriffsanzeigen verbieten,"Vanity, though probably more of an attack ad.",0,0.111111111,0,"Eitelkeit, wenn auch wahrscheinlich eher eine Angriffsanzeige.",0,1,7,0,7,,,0,0,0,"Vanity, obwohl wahrscheinlich eher eine Attacke Anzeige.",0,1,7,0,7,,,0,0,0
We should ban billboards,Wir sollten Plakatwände verbieten,Billboard is a reliable source and it's data collected by Nielsen BDS and Nielsen Soundscan.,0,0.3,-1,"Billboard ist eine zuverlässige Quelle, und die Daten wurden von Nielsen BDS und Nielsen Soundscan gesammelt.",0,0.625289857,10,4,6,-1,1,4,0,4,Billboard ist eine zuverlässige Quelle und die Daten werden von Nielsen BDS und Nielsen Soundscan gesammelt.,0,0.587620271,10,5,5,,,5,0,5
We should ban billboards,Wir sollten Plakatwände verbieten,"Throughout 2011 and 2012, trap music maintained a strong presence on the mainstream Billboard music charts with a number of records released by rappers such as Young Jeezy, Chief Keef and Future.",0,0,0,"Waehrend 2011 und 2012 hatte Rap Musik eine starke Praesenz auf den Schlagerlisten mit einer Anzahl von Platten herausgegeben von Rappern wie Young Jeezy, Chief Keef und Furure .",0,1,7,0,7,,,0,0,0,"In den Jahren 2011 und 2012 hielt die Traps-Musik eine starke Präsenz auf den Mainstream-Billboard-Musik-Charts mit einer Reihe von Rekorden, die von Rappern wie Young Jeezy, Chief Keef und Future veröffentlicht wurden.",0,1,7,0,7,,,0,0,0
We should ban burqas,Wir sollten Burkas verbieten,On Tuesday 13 July 2010 the Assembly overwhelmingly approved a bill banning burqas and niqabs.  ,1,1,1,"Am Dienstag, den 13. Juli 2010, hat die Versammlung ueberwaeltigend ein Gesetz genehmigt, dass Burkas und Niqabs verbietet.",1,0.931574646,10,9,1,1,1,9,9,0,"Am Dienstag, dem 13. Juli 2010, billigte die Versammlung mit überwältigender Mehrheit einen Gesetzentwurf über das Verbot von Burka und Niqabs.  ",1,1,7,7,0,1,1,7,7,0
We should ban burqas,Wir sollten Burkas verbieten,"European Commissioner Franco Frattini said in November 2006, that he did not favour a ban on the burqa .",1,1,-1,"EU-Kommissar Franco Frattini sagte im November 2006, dass er ein Verbot der Burka nicht befürworte.",1,0.962517134,10,9,1,-1,1,9,1,8,"Der EU-Kommissar Franco Frattini sagte im November 2006, er habe kein Verbot der Burka befürwortet.",1,0.943939458,10,8,2,1,1,8,1,7
We should ban chewing tobacco,Wir sollten Kautabak verbieten,"In 1938 R.J. Reynolds marketed eighty-four brands of chewing tobacco, twelve brands of smoking tobacco, and the top-selling Camel brand of cigarettes.",0,0.1,0,"1938 verkaufte R. J. Reynolds vierundachtzig Sorten von Kautabak, zwoelf Sorten von Rauchtabak und die meistverkaufte Sorte Camel Zigaretten.",0,1,7,0,7,,,0,0,0,"Im Jahr 1938 vermarktete R.J. Reynolds achtundvierzig Marken von Kautabak, zwölf Marken von Rauchtabak und die Topseller-Marke Camel von Zigaretten.",0,0.884647822,10,2,8,,,2,0,2
We should ban chewing tobacco,Wir sollten Kautabak verbieten,"In a comprehensive review of all reports from previous years, one study noted ""The use of moist snuff and chewing tobacco imposes minimal risks for cancers of the oral cavity and other upper respiratory sites, with relative risks ranging from 0.6 to 1.7.""",1,0.8,1,"In einer umfassenden Überprüfung aller Berichte aus den vergangenen Jahren stellte eine Studie fest: ""Die Verwendung von feuchtem Schnupftabak und Kautabak birgt minimale Risiken für Krebserkrankungen der Mundhöhle und anderer Stellen der oberen Atemwege, wobei die relativen Risiken zwischen 0,6 und 1,7 liegen.",1,0.695099247,10,6,4,1,1,6,6,0,"In einer umfassenden Überprüfung aller Berichte aus den vergangenen Jahren stellte eine Studie fest: ""Die Verwendung von feuchtem Schnupfen und Kautabak stellt minimale Risiken für Krebserkrankungen der Mundhöhle und anderer oberer Atemwege dar, mit relativen Risiken im Bereich von 0,6 bis 1,7.""",1,0.75082413,10,8,2,1,1,8,7,1
We should ban conversion therapy,Wir sollten Umstellungstherapie verbieten,"On August 1, 2016, Seattle voted to ban conversion therapy on minors.",1,1,1,"Am 1. August 2016,wurde in Seattle  gewaehlt,  Umwandlungstherapie an Minderjaehrigen zu verbieten. ",1,0.931574646,10,9,1,1,1,9,9,0,"Am 1. August 2016 hat Seattle dafür gestimmt, die Konversionstherapie an Minderjährigen zu verbieten.",1,0.922315419,10,8,2,1,1,8,8,0
We should ban conversion therapy,Wir sollten Umstellungstherapie verbieten,"In December 2016, Taiwan's highest health authority announced plans to ban Conversion Therapy, which aims to change a person's sexual orientation.",1,0.9,1,"Im Dezember 2016 kündigte Taiwans höchste Gesundheitsbehörde Pläne zum Verbot der Konversionstherapie an, die darauf abzielt, die sexuelle Orientierung einer Person zu ändern.",1,0.712332268,10,7,3,1,1,7,7,0,"Im Dezember 2016 kündigte Taiwans höchste Gesundheitsbehörde Pläne für eine Umschulungstherapie an, die darauf abzielt, die sexuelle Orientierung einer Person zu verändern.",0,0.587620271,10,4,6,,,4,0,4
We should ban media conglomerates,Wir sollten Medienkonglomerate verbieten,Amroha has several active media groups which continuously give the populace Hindi news updates on Amroha: ,0,0.222222222,0,"Amroha hat mehrere aktive Mediengruppen, die die Bevölkerung kontinuierlich mit aktuellen Hindi-Nachrichten über Amroha versorgen:",0,0.964908092,10,1,9,,,1,0,1,"Amroha hat mehrere aktive Medienkonzerne, die die populace Hindi News-Updates auf Amroha kontinuierlich geben: ",0,1,8,0,8,,,0,0,0
