topic_EN,topic_DE,argument_EN,stance_label_EN,stance_conf_EN,quality_score_EN,argument_DE_ht,num_labelers_ht,stance_label_ht,stance_conf_ht,stance_pro_ht,stance_neutral_ht,stance_con_ht,quality_score_ht,quality_positive_ht,quality_negative_ht,argument_DE_mt,num_labelers_mt,stance_label_mt,stance_conf_mt,stance_pro_mt,stance_neutral_mt,stance_con_mt,quality_score_mt,quality_positive_mt,quality_negative_mt
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,"the olympic games should not be abolished in any way, since with them athletes are won, training to be an integral human being able to defend their country",-1,1,0.84942,"die olympischen Spiele sollten in keiner Weise abgeschafft werden, da mit ihnen Athleten gewonnen werden, die zu einem integralen Menschen ausgebildet werden, der in der Lage ist, sein Land zu verteidigen",6,-1,1,0,0,6,0,0,6,"die olympischen Spiele sollten nicht in irgendeiner Weise abgeschafft werden, da mit ihnen Athleten gewonnen werden, Ausbildung zu einem integralen Menschen in der Lage sein, ihr Land zu verteidigen",9,-1,1,1,0,8,0.101217399,1,8
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,"the olympic games were created as a way to bring the world together, including smaller and less well known nations. this is no longer necessary as the world has become smaller.",1,0.501870163,1,"die olympischen Spiele wurden geschaffen, um die Welt zusammenzubringen, einschließlich kleinerer und weniger bekannter Nationen. dies ist nicht mehr notwendig, da die Welt kleiner geworden ist.",6,1,1,6,0,0,0.331010073,2,4,"die olympischen Spiele wurden als eine Möglichkeit geschaffen, die Welt zusammenzubringen, einschließlich der kleineren und weniger bekannten Nationen. Dies ist nicht mehr notwendig, da die Welt kleiner geworden ist.",9,1,0.925271063,8,0,1,0.595347455,5,4
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,it creates tourism and helps the local businesses,-1,1,0.68726,sie schafft Tourismus und hilft den örtlichen Unternehmen,6,-1,1,0,0,6,0.654209457,4,2,es schafft Tourismus und hilft den lokalen Unternehmen,9,-1,1,0,0,9,0.785232915,7,2
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,"due to most hate crimes being spur of the moment, the three strikes laws wonâ€™t deter crime like they were intended to.",1,0.794560913,0.87237,"Da die meisten Verbrechen, die aus Hass begangen werden, spontan sind, wuerden die drei Streik Gesetze Verbrechen wie diese nicht  verhindern, wie es beabsichtigt war.",8,1,0.88403267,7,0,1,0.673127946,5,3,"Aufgrund der meisten Hassverbrechen, die den Moment ankurbeln, werden die drei Streiks die Kriminalität nicht so abschrecken, wie sie es eigentlich wollten.",5,1,0.819575031,4,1,0,0.268998819,1,4
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,the three strike law establishes a sentence and those who commit crimes can make a choice if they want to abide by it or not,-1,0.893827311,0.54503,"Das Drei-Streik-Gesetz sieht eine Strafe vor, und diejenigen, die Verbrechen begehen, können wählen, ob sie sich daran halten wollen oder nicht.",6,-1,0.662818196,0,2,4,0,0,6,"das Drei-Streik-Gesetz legt einen Satz fest und diejenigen, die Straftaten begehen, können eine Wahl treffen, wenn sie sich daran halten wollen oder nicht",5,-1,0.822560195,0,1,4,0.226115296,1,4
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,the three-strikes law should be abolished. each convicted crime should be punished individually.  it isn't right to judge a person solely on their criminal history.,1,1,1,"Das drei  Streik Gesetz sollte abgeschafft werden, jedes verurteilte Verbrechen sollte einzeln bestraft werden, es ist nicht richtig einen Menschen ausschliesslich nach seiner kriminellen Vorgeschichte zu  beurteilen.",5,1,1,5,0,0,1,5,0,"Das Gesetz über die drei Streiks sollte abgeschafft werden. Jede verurteilte Straftat sollte einzeln bestraft werden.  Es ist nicht richtig, eine Person allein auf ihre kriminelle Geschichte zu richten.",9,1,1,9,0,0,1,8,1
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,the three strikes law doesn't do anything to prevent or deter major crimes from occurring.,1,1,1,"Das drei Streik Gesetz traegt nichts dazu bei, schwere Verbrechen zu verhindern oder davon abzuhalten.",5,1,1,5,0,0,0.796780071,3,2,"Die drei Streiks-Gesetze tun nichts, um schwere Verbrechen zu verhindern oder abzuschrecken.",9,1,1,9,0,0,0.656795716,5,4
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,The chance for rehabilitation is taken away from three-strike offenders sentenced to life imprisonment without parole.,1,0.906180877,0.90862,"Die Chance zur Rehabilitierung ist von dre Streik Taetern genommen, wenn sie zu lebenslaenglicher Haft ohne Bewaehrung verurteilt sind.",5,1,1,5,0,0,0.360786185,2,3,"Die Chance auf Rehabilitation wird von drei Freiheitsstraftätern genommen, die zu lebenslanger Haft ohne Bewährung verurteilt worden sind.",6,0,0.617216832,3,3,0,0,1,5
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,the three-strikes laws can mean that people who have committed minor offences receive sentences that are too long for their crimes.,1,1,0.89493,"Die drei Steik Gesetze koennen bedeuten, dass Menschen, die unbedeutende Straftaten begangen haben, Strafen erhalten, die zu lang fuer ihre Verbrechen sind.",5,1,1,5,0,0,1,5,0,"Die Drei-Streiks-Gesetze können bedeuten, dass Menschen, die Minderheitsdelikte begangen haben, Sätze erhalten, die zu lange für ihre Verbrechen sind.",8,1,0.919052142,7,0,1,0.802679762,6,2
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,this law has lessened the overall crime rate in the united states by not taking any more risks and continually releasing criminals,-1,0.795204815,0.79348,"Dieses Gesetz hat die Gesamtkriminalitätsrate in den Vereinigten Staaten verringert, indem es keine Risiken mehr eingegangen ist und Kriminelle kontinuierlich freigelassen hat.",6,-1,0.822560195,1,0,5,0.639213815,3,3,"Dieses Gesetz hat den gesamten Kriminalitätsgrad in den Vereinigten Staaten verringert, indem es keine weiteren Risiken mehr eingeht und immer wieder Kriminelle freisetzt.",8,-1,1,1,0,7,0.595347455,4,4
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,three strikes laws lack nuance and fail to evaluate circumstances around crimes committed.,1,1,1,Drei-Streik-Gesetzen mangelt es an Nuanciertheit und an einer Bewertung der Umstände der begangenen Verbrechen.,6,1,1,6,0,0,0.855393624,5,1,"Drei Streiks Gesetze fehlen nuanciert und scheitern, um die Umstände um Verbrechen begangen zu bewerten.",5,1,0.822560195,4,1,0,0.164310994,1,4
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,there needds to be clear legislation and deterrents in pace to ensure social responsibility,-1,0.600120686,0.1909,Es benoetigt klare Gesetzgebung und Abschreckungspotenzial um soziale Verantwortung zu gewaehrleisten,6,-1,1,0,0,6,0.857218497,5,1,"gibt es klare Rechtsvorschriften und Abschreckungsmittel, um die soziale Verantwortung zu gewährleisten",8,0,0.613710333,2,4,2,0.091592754,1,7
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,its asinine for people to spend life in jail for minor offenses committed while they were young.,1,0.897471267,0.77204,"Es ist schrecklich, wenn Menschen für kleinere Vergehen, die sie in ihrer Jugend begangen haben, lebenslang ins Gefängnis kommen.",6,1,1,6,0,0,0.889404298,5,1,"Ihr Asinin für Menschen, das Leben im Gefängnis zu verbringen, für kleinere Vergehen, die während ihrer Jugend begangen wurden.",5,1,0.822560195,4,1,0,0,0,5
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,it is unfair that someone should be jailed for a minor crime,1,1,0.86696,"Es ist unfar, dass jemand fuer ein unbedeutendes Verbrechen im Gefaengnis sitzen muss",10,1,0.944960334,9,1,0,0.743412203,6,4,"es ist ungerecht, dass jemand wegen eines kleinen Verbrechens inhaftiert werden sollte",5,1,1,5,0,0,0.701646155,3,2
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,"criminals are bound to repeat themselves, and with increasing risk. the three strikes law would punish those criminals accordingly.",-1,0.894472206,0.97625,"Kriminelle werden sich zwangsläufig wiederholen, und zwar mit zunehmendem Risiko. Das Three-Strikes-Gesetz würde diese Kriminellen entsprechend bestrafen.",6,-1,0.85701918,1,0,5,0.488874023,3,3,"Kriminelle sind verpflichtet, sich zu wiederholen, und mit wachsendem Risiko. Die drei Streiks-Gesetze würden diese Verbrecher entsprechend bestrafen.",5,-1,1,0,0,5,0.164310994,1,4
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,not all crimes are equal and cannot be punished equally,1,0.895542955,0.60545,Nicht alle Verbrechen sind gleich und können nicht gleich bestraft werden.,6,1,1,6,0,0,0.803524809,5,1,nicht alle Verbrechen sind gleich und können nicht gleich bestraft werden,5,1,1,5,0,0,0.803524809,4,1
We should abolish the three-strikes laws,Wir sollten die drei Gesetze abschaffen.,if people are habitually re-offending then they need a punishment that will stop them. a mandatory prison sentence is the minimum they should have as a punishment.,-1,0.928163875,0.88909,"Wenn Menschen regelmäßig wieder straffällig werden, brauchen sie eine Strafe, die sie davon abhält. eine obligatorische Gefängnisstrafe ist das Minimum, das sie als Strafe erhalten sollten.",6,-1,1,0,0,6,0.763738402,4,2,"Wenn die Menschen ihren gewöhnlichen Wiedervergehen haben, dann brauchen sie eine Strafe, die sie aufhalten wird. Eine zwingende Haftstrafe ist das Minimum, das sie als Strafe haben sollten.",8,-1,1,0,0,8,0.66014873,6,2
We should adopt atheism,Wir sollten den Atheismus annehmen,Atheism is a valid form of thinking just as many controlled religious.  We should adopt and accept it as we do other beliefs.,1,0.811916622,0.82386,"Atheismus ist eine gueltige Art zu denken, genau wie viele traditionelle Religionen. Wir sollten es annehmen und akzeptieren wie  andere Glaubensrichtungen.",10,1,0.771179762,8,2,0,0.884853797,8,2,"Atheismus ist eine gültige Form des Denkens, genauso wie viele kontrollierte religiöse.  Wir sollten sie annehmen und akzeptieren, da wir andere Überzeugungen machen.",8,1,0.676593444,5,2,1,0.194345133,3,5
We should adopt atheism,Wir sollten den Atheismus annehmen,believing in a higher power gives people a reason to do good instead of only thinking of themselves.,-1,1,0.67255,"Der Glaube an eine höhere Macht gibt den Menschen einen Grund, Gutes zu tun, anstatt nur an sich selbst zu denken.",6,-1,1,0,0,6,0.764805159,5,1,"Der Glaube an eine höhere Macht gibt den Menschen einen Grund, Gutes zu tun, anstatt nur an sich selbst zu denken.",8,-1,1,0,0,8,0.721229428,6,2
We should adopt atheism,Wir sollten den Atheismus annehmen,"people are so afraid of an imaginary punishment that they do not live their lives to the fullest - with atheism, it will be more convincing to live in the present.",1,1,0.67302,"Die Menschen haben so viel Angst vor einer imaginären Strafe, dass sie ihr Leben nicht voll ausleben - mit Atheismus wird es überzeugender sein, in der Gegenwart zu leben.",6,1,1,6,0,0,0.889404298,5,1,"Menschen haben so Angst vor einer imaginären Strafe, dass sie ihr Leben nicht in vollen Zügen leben-mit Atheismus, es wird überzeugender sein, in der Gegenwart zu leben.",9,1,1,9,0,0,0.886450314,8,1
We should adopt atheism,Wir sollten den Atheismus annehmen,"Religion and the belief in God gives us comfort and allows us to face our own mortality, it is something we as humans need to maintain a healthy mind. Atheism lacks this and should not be adopted.",-1,1,0.65634,Religion und der Glaube an Gott gibt uns Trost und erlaubt uns unserer eigenen Sterblichkeit zu begegnen. Es ist etwas was wir als Meschen brauchen um  einen gesunden Verstand  zu behalten. Atheismus fehlt dies und sollte nicht angenommen werden.,5,-1,1,0,0,5,1,5,0,"Die Religion und der Glaube an Gott geben uns Trost und erlauben uns, unserer eigenen Sterblichkeit zu begegnen, es ist etwas, was wir als Menschen brauchen, um einen gesunden Geist zu erhalten. Atheismus fehlt dies und sollte nicht angenommen werden.",11,-1,1,0,0,11,0.854021781,9,2
We should adopt atheism,Wir sollten den Atheismus annehmen,there are a lot of religions that take advantage of people. atheism eliminates that from happening.,1,0.90659199,0.62988,"Es gibt eine Menge Religionen, die Menschen ausnutzen. Atheisumus verhindert dies.",5,1,1,5,0,0,0.803524809,4,1,"dass es viele Religionen gibt, die die Menschen nutzen. Atheismus beseitigt das, was passiert.",6,-1,0.818401215,0,1,5,0,0,6
We should adopt atheism,Wir sollten den Atheismus annehmen,it doesn't matter what god you believe in but everyone should believe in some god,-1,0.892847959,0.52152,"Es ist egal, an welchen Gott man glaubt, aber jeder sollte an irgendeinen Gott glauben.",6,-1,1,0,0,6,0.125665896,1,5,"Es spielt keine Rolle, an welchem Gott Sie glauben, aber jeder sollte an einen Gott glauben",5,-1,1,0,0,5,0.164310994,1,4
We should adopt atheism,Wir sollten den Atheismus annehmen,it is our given right to live our life as we wish including religion and atheism should be adopted,1,1,0.33401,"Es ist unser Recht unser Leben so zu leben wie wir es wuenschen, einschliesslich Religion und Atheismus sollte angenommen werden",5,1,0.633999379,3,1,1,0.226115296,1,4,"Es ist unser Recht, unser Leben zu leben, wie wir wollen, einschließlich der Religion und des Atheismus,",5,-1,0.819575031,0,1,4,0.234857791,1,4
We should adopt atheism,Wir sollten den Atheismus annehmen,you can not force a religion or lack there of on someone,-1,0.791213182,0.68278,Man kann niemandem eine Religion oder das Nichtvorhandensein derer aufzwingen,5,-1,1,0,0,5,0.835689006,4,1,Sie können keine Religion oder Mangel dort von jemandem erzwingen,10,-1,0.9299345,1,0,9,0.256559982,3,7
We should adopt atheism,Wir sollten den Atheismus annehmen,freedom of religion is a founding principle of america and vital to a free society.,-1,0.714134737,0.38184,Religionsfreiheit ist ein fundamentaler Grundsatz von America und unerlaesslich fuer eine freie Gesellschaft.,5,-1,1,0,0,5,0.835689006,4,1,,,,,,,,,,
We should adopt atheism,Wir sollten den Atheismus annehmen,if everyone was an atheist it would make everyone the same and make it easier to connect with other people.,1,1,0.55412,"Wenn jeder Atheist waere, wuerden alle gleich sein und es wuerde es einfacher machen mit anderen Menschen in Verbindung zu stehen ",10,1,1,10,0,0,0.767103801,8,2,"Wenn jeder ein Atheist wäre, würde er alle gleich machen und es einfacher machen, sich mit anderen zu verbinden.",7,1,1,7,0,0,0.624405535,4,3
We should adopt atheism,Wir sollten den Atheismus annehmen,we should adopt atheism because it allows to live our lives and make decisions based on logic which makes it easier for us to adapt to an ever changing world,1,1,0.93752,"wir sollten den Atheismus annehmen, weil er uns erlaubt, unser Leben zu leben und Entscheidungen zu treffen, die auf einer Logik basieren, die es uns erleichtert, uns an eine sich ständig verändernde Welt anzupassen",6,1,1,6,0,0,0.849734761,5,1,"Wir sollten den Atheismus annehmen, weil er uns erlaubt, unser Leben zu leben und Entscheidungen auf der Grundlage von Logik zu treffen, die es uns leichter macht, sich an eine sich ständig verändernde Welt anzupassen.",8,1,1,8,0,0,1,7,1
We should adopt atheism,Wir sollten den Atheismus annehmen,We should not support this as this has no benefit whatsoever to anyone.,-1,1,0.70307,"Wir sollten dies nicht unterstützen, da dies für niemanden einen Nutzen hat.",6,-1,1,0,0,6,0,0,6,"Wir sollten dies nicht unterstützen, da dies niemandem zugute kommt.",8,-1,1,0,0,8,0,0,8
We should adopt atheism,Wir sollten den Atheismus annehmen,people would get along better if they didn't have religious differences,1,0.806835308,0.96035,"die Menschen würden besser miteinander auskommen, wenn sie keine religiösen Unterschiede hätten",6,1,1,6,0,0,0.764805159,5,1,"würden die Menschen besser dastehen, wenn sie religiöse Unterschiede nicht haben",5,1,1,5,0,0,0.494607439,2,3
We should adopt atheism,Wir sollten den Atheismus annehmen,various religion have conflicts between them and cause problems within groups whereas atheism is very generic.,1,1,0.43064,"verschiedene Religionen Konflikte zwischen ihnen haben und Probleme innerhalb von Gruppen verursachen, während der Atheismus sehr allgemein gehalten ist.",6,1,1,6,0,0,0,0,6,"verschiedene Religionen haben Konflikte zwischen ihnen und verursachen Probleme innerhalb von Gruppen, während Atheismus sehr generisch ist.",6,1,1,6,0,0,0.61453992,4,2
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,libertarianism cuts out much of the assistance from the government which will harm those that are dependent upon it.,-1,0.887884552,0.73289,"Der Liberalismus schneidet einen großen Teil der Hilfe der Regierung ab, die denjenigen schaden wird, die von ihr abhängig sind.",6,-1,1,0,0,6,0.658918434,4,2,"Der Libertarianismus schneidet viel von der Hilfe der Regierung ab, die den von ihr abhängigen Schaden anrichten wird.",5,-1,1,0,0,5,0.164310994,1,4
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,"libertarianism loses government programs that provide safety regulations, social services and other necessary programs that are lost with this type of governing entity, or lack thereof.",-1,1,0.81601,"Der Liberalismus verliert Regierungsprogramme, die Sicherheitsvorschriften, soziale Dienste und andere notwendige Programme vorsehen, die bei dieser Art von Regierungsorganen verloren gehen oder deren Fehlen.",6,-1,1,0,0,6,0.298600041,2,4,"Libertarianismus verliert staatliche Programme, die Sicherheitsbestimmungen, soziale Dienste und andere notwendige Programme, die mit dieser Art von Regierungs-Einheit verloren gehen, oder Fehlen davon.",9,-1,1,1,0,8,0.343789486,3,6
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,libertarianism will destroy an organization as it puts the rights of a individual before the good of the group,-1,1,0.52114,"Der Liberalismus wird eine Organisation zerstören, da er die Rechte des Einzelnen über das Wohl der Gruppe stellt.",6,-1,1,0,0,6,0.889404298,5,1,"Libertarianismus wird eine Organisation zerstören, wie sie die Rechte eines Individuums vor dem Wohl der Gruppe",5,-1,0.822560195,0,1,4,0.164310994,1,4
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,the government should not concern itself with business affairs.,-1,0.605022575,0.32663,Die Regierung sllte sich nicht mit geschaeftlichen Angelegenheiten beschaeftigen.,10,1,0.944960334,8,1,1,0.3251092,4,6,die Regierung sollte sich nicht um geschäftliche Angelegenheiten beschäftigen.,9,1,1,9,0,0,0.207024603,2,7
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,the rule of government should trump all,-1,0.550373893,0.11282,Die Vorschrift der Regierung solle alles uebertrumpfen,5,-1,1,0,0,5,0,0,5,sollte die Herrschaft der Regierung alle trumpfen,8,-1,0.783703181,0,2,6,0,0,8
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,working together for a greater good favouring the less well off and giving freedom of choice can only benefit society as a whole.,1,1,0.91273,Zusammenarbeit fuer das oeffentliche Wohl zu Gunsten der weniger Bemittelten und Entscheidungsfreiheit kann der gesamten Gesellschaft nur von Nutzen sein.,5,1,0.436326456,2,2,1,0.494607439,2,3,"Die Zusammenarbeit für ein größeres Gut, das weniger gut ist und die freie Wahl ermöglicht, kann nur der Gesellschaft als Ganzes zugute kommen.",8,1,0.557975968,5,3,0,0.080755093,1,7
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,a libertarian government with provide the lower classes with much needed resources.,1,1,1,Eine liberale Regierung wuerde die unteren Klassen mit dringend gebrauchten Resourcen versehen.,5,1,0.749683375,4,0,1,0.462265542,2,3,"eine libertäre Regierung, die die unteren Klassen mit dringend benötigten Ressourcen versorgen.",11,1,0.690015454,8,2,1,0,0,11
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,"there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.",-1,0.711609742,0.7361,"Es gibt so viele Menschen auf der Welt, dass wir alle einsehen müssen, dass wir bestimmte Regeln und Etikette einführen müssen, an die sich alle halten, denn wenn jeder sich selbst zufriedenstellen würde, würde sich keiner mehr gegenseitig helfen.",6,-1,1,0,0,6,0.764805159,5,1,"es gibt so viele Menschen in der Welt, die wir alle zu schätzen wissen müssen, dass wir bestimmte Regeln und Ätiquette verabschieden müssen, die jedermann folgt, wenn sich jeder selbst freut, dass sich niemand gegenseitig helfen würde.",9,-1,0.721123889,1,2,6,0,0,9
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,"libertarianism is wrong and goes too far in getting the government out of our lives, because many people need services from the government",-1,1,0.92395,"Liberatismus ist voellig falsch und geht zu weit die Regierung aus unserem Leben zu entfernen, da viele Menschen Hilfe von der Regierung brauchen",5,-1,1,0,0,5,0.803524809,4,1,"der Libertarismus ist falsch und geht zu weit, um die Regierung aus unserem Leben zu holen, weil viele Menschen Dienste von der Regierung brauchen",12,-1,1,0,0,12,0.861295949,10,2
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,"without authority, rules and regulations to ensure smooth running of society, chaos would reign.",-1,0.805321889,0.64959,"Ohne Autorität, Regeln und Vorschriften, die ein reibungsloses Funktionieren der Gesellschaft gewährleisten, würde Chaos herrschen.",6,-1,1,0,1,5,1,6,0,"ohne Autorität, Regeln und Regulierungen, um einen reibungslosen Ablauf der Gesellschaft zu gewährleisten, würde das Chaos regieren.",9,-1,0.925271063,1,0,8,1,8,1
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,we should adopt libertarianism  because it allows the people to have more freedom and little or no involvement from the government.,1,0.889152189,1,"Wir sollten Liberatismus einfuehren, weil es den Menschen mehr Freiheit erlaubt und wenig oder keine Beteiligung von der Regierung.",5,1,1,5,0,0,0.164310994,1,4,"Wir sollten den Libertarianismus annehmen, weil er es den Menschen ermöglicht, mehr Freiheit und wenig oder gar keine Beteiligung der Regierung zu haben.",11,1,1,11,0,0,0.744238504,7,4
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,"we should adopt libertarianism because people should be free to make their own choices about what is right or wrong for their own needs, not dictated by the government.",1,1,1,"Wir sollten Liberatismus einfuehren, weill die Menschen frei sein sollten ihre eigene Wahl zu treffen was richtig oder falsch fuer ihre eigenen Beduerfnisse ist , nicht von der Regierung diktiert.",5,1,1,5,0,0,0.39042629,2,3,"Wir sollten Libertarianismus annehmen, weil die Menschen frei sein sollten, ihre eigenen Entscheidungen darüber zu treffen, was richtig oder falsch ist für ihre eigenen Bedürfnisse, nicht von der Regierung diktiert.",7,1,0.88896478,6,0,1,0.736151239,4,3
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,we should not adopt this because people will start marrying doorknobs and identifying as cats and society would fall apart.,-1,0.819959903,0.30043,"Wir sollten dies nicht übernehmen, weil die Menschen anfangen werden, Türklinken zu heiraten und sich als Katzen zu identifizieren, und die Gesellschaft auseinander fallen würde.",6,-1,1,0,0,6,0,0,6,"Wir sollten das nicht annehmen, weil die Menschen mit der Heirat von Haustür beginnen und sich als Katzen und die Gesellschaft identifizieren würden.",9,-1,1,0,0,9,0,1,8
We should adopt libertarianism,Wir sollten den Libertarianismus annehmen.,we should not adopt libertarianism because left on their own many people would make a choice that adversely effects their lives without weighing all the consequences.,-1,1,1,"Wir sollten uns nicht für den Liberalismus entscheiden, denn allein gelassen würden viele Menschen eine Entscheidung treffen, die sich nachteilig auf ihr Leben auswirkt, ohne alle Konsequenzen abzuwägen.
",6,-1,1,0,0,6,0.716470153,4,2,"Wir sollten keinen Libertarianismus annehmen, weil sie von ihren eigenen vielen Menschen eine Wahl treffen würden, die ihr Leben negativ beeinflussen würden, ohne alle Konsequenzen zu wiegen.",9,-1,1,0,0,9,0.101217399,2,7
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,algorithmic trading takes jobs away from skilled traders.,1,1,0.91525,Algorithimischer Handel nimmt Jobs von erfahrenen Aktienhaendlern,5,1,1,5,0,0,1,5,0,Algorithmischer Handel nimmt Jobs weg von Fachhändlern.,5,1,0.819575031,4,0,1,0.126491351,1,4
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,Algorithms developed by artificial intelligence may provide insights into the stock market that humans have yet to find.,-1,0.905358847,1,"Algorithmen, die von kuenstlicher Intelligenz (AI) entwickelt wurden, moegen Einblicke in the Aktienmarkt ermoeglichen, die die Menschen noch finden muessen.",10,-1,0.885589881,1,1,8,0.586059761,5,5,"Algorithmen, die durch künstliche Intelligenz entwickelt wurden, können Einblicke in den Aktienmarkt liefern, den Menschen noch finden müssen.",7,-1,0.919052142,1,0,6,0.798993882,5,2
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,algorithmic trading keeps emotions out of investing and results in more logical moves for the trader,-1,0.886748775,0.95294,Algorithmischer Handel entfernt Emotionen aus dem Investieren und resultiert in mehr logischen Aktionen des Aktienhaendlers.,10,-1,0.944960334,2,0,8,0.724562061,6,4,algorithmischer Handel hält Emotionen fern von Investitionen und führt zu mehr logischen Zügen für den Händler,7,-1,0.921931685,1,0,6,1,7,0
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,"algorithmic trading allows for quicker more automated trading by utilizing mathematics and technology, this is simply a technological advancement as we see in all fields of business",-1,0.901347527,1,"Algorithmischer Handel erlaubt schnelleren, automatisierten Handel, durch die Nutzung von Mathematic und Technology. Es ist einfach ein technischer Fortschritt, den wir in allen Geschaeftsbereichen sehen.",9,-1,1,0,0,9,0.915252022,8,1,"Algorithmischer Handel ermöglicht einen schnelleren Handel mit Mathematik und Technologie, das ist einfach ein technologischer Fortschritt, wie wir in allen Geschäftsfeldern sehen",12,-1,1,0,0,12,1,12,0
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,"algorithmic trading allows for more timely, accurate, and efficient trading.",-1,1,1,"Der algorithmische Handel ermöglicht einen zeitnäheren, genaueren und effizienteren Handel.",6,-1,1,0,0,6,1,6,0,"Algorithmischer Handel ermöglicht einen rechtzeitigen, präzisen und effizienten Handel.",9,-1,1,1,0,8,0.886450314,7,2
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,algorithmic trading is an unfair practice where the winners are only people with the best computers.  we need to even the playing field and ban it.,1,1,0.88251,"Algorithmischer Handel ist eine unfaire Methode, wo die Gewinner nur Menschen mit den besten Computern sind. Wir muessen dass Spielfeld ausgleichen und es verbieten.",10,1,1,10,0,0,1,9,1,"algorithmischer Handel ist eine unfaire Praxis, bei der die Gewinner nur Menschen mit den besten Computern sind.  Wir brauchen sogar das Spielfeld und verbieten es.",8,1,1,8,0,0,0.307335326,2,6
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,algorithmic trading prevents massive influence on the market by dividing trades into smaller bunches.,-1,1,0.63084,Algorithmischer Handel verhindert massiven Einfluss auf den Markt durch die Aufteilung des Handels in kleinere Packen.,6,-1,1,1,0,5,0.697040554,3,3,Algorithmischer Handel verhindert massiven Einfluss auf den Markt durch die Aufteilung von Gewerken in kleinere Bünde.,6,-1,0.70036975,1,1,4,0.089699674,1,5
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,this should not be banned as it makes trading easier and simpler.,-1,1,0.97325,"dies sollte nicht verboten werden, da es den Handel leichter und einfacher macht.",6,-1,1,0,0,6,0.378278321,2,4,"Dies sollte nicht verboten werden, da es den Handel einfacher und einfacher macht.",8,-1,1,0,0,8,0.210828869,2,6
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,a simple error in the algorithm and can bankrupt the investor,1,0.893940501,0.85467,ein einfacher Fehler im Algorithmus und kann den Investor in den Bankrott treiben,6,1,0.811439184,5,0,1,0.629278329,4,2,Ein einfacher Fehler im Algorithmus und kann den Anleger bankrott,9,1,1,9,0,0,0.2302398,4,5
We should ban algorithmic trading,Wir sollten den algorithmischen Handel verbieten,"it is unfair to those without access to algorithmic trading putting them at a disadvantage, so a level playing field would be fairer.",1,0.798117014,1,"es ist unfair gegenüber denjenigen, die keinen Zugang zum algorithmischen Handel haben und dadurch benachteiligt werden, so dass gleiche Wettbewerbsbedingungen fairer wären.",6,1,1,6,0,0,0.764805159,5,1,"Es ist unfair gegenüber denjenigen, die keinen Zugang zum algorithmischen Handel haben, der sie benachteiligt, so dass gleiche Ausgangsbedingungen gerechter wären.",5,1,1,5,0,0,0.855393624,4,1
